Jahr,Bezirk,Geschlecht,Anzahl_Geburten
2010,1140,2,393
2010,1150,1,452
2010,1150,2,403
2010,1160,1,559
2010,1160,2,561
2010,1170,1,308
2010,1170,2,268
2010,1180,1,261
2010,1180,2,234
2010,1190,1,275
2010,1190,2,307
2010,1200,1,558
2010,1200,2,463
2010,1210,1,692
2010,1210,2,667
2010,1220,1,741
2010,1220,2,722
2010,1230,1,437
2010,1230,2,396
2011,1010,1,74
2011,1010,2,73
2011,1020,1,576
2011,1020,2,540
2011,1030,1,453
2011,1030,2,396
2011,1040,1,153
2011,1040,2,159
2011,1050,1,346
2011,1050,2,311
2011,1060,1,155
2011,1060,2,133
2011,1070,1,161
2011,1070,2,149
2011,1080,1,104
2011,1080,2,102
2011,1090,1,198
2011,1090,2,209
2011,1100,1,1054
2011,1100,2,991
2011,1110,1,510
2011,1110,2,530
2011,1120,1,506
2011,1120,2,485
2011,1130,1,248
2011,1130,2,195
2011,1140,1,438
2011,1140,2,376
2011,1150,1,449
2011,1150,2,437
2011,1160,1,592
2011,1160,2,521
2011,1170,1,318
2011,1170,2,301
2011,1180,1,272
2011,1180,2,261
2011,1190,1,321
2011,1190,2,305
2011,1200,1,540
2011,1200,2,496
2011,1210,1,669
2011,1210,2,675
2011,1220,1,794
2011,1220,2,751
2011,1230,1,451
2011,1230,2,392
2012,1010,1,68
2012,1010,2,60
2012,1020,1,617
2012,1020,2,520
2012,1030,1,491
2012,1030,2,436
2012,1040,1,146
2012,1040,2,148
2012,1050,1,288
2012,1050,2,273
2012,1060,1,156
2012,1060,2,131
2012,1070,1,174
2012,1070,2,136
2012,1080,1,103
2012,1080,2,113
2012,1090,1,224
2012,1090,2,187
2012,1100,1,1104
2012,1100,2,1049
2012,1110,1,560
2012,1110,2,488
2012,1120,1,517
2012,1120,2,515
2012,1130,1,219
2012,1130,2,229
2012,1140,1,465
2012,1140,2,376
2012,1150,1,418
2012,1150,2,369
2012,1160,1,552
2012,1160,2,552
2012,1170,1,284
2012,1170,2,270
2012,1180,1,273
2012,1180,2,243
2012,1190,1,329
2012,1190,2,296
2012,1200,1,519
2012,1200,2,470
2012,1210,1,781
2012,1210,2,639
2012,1220,1,841
2012,1220,2,767
2012,1230,1,437
2012,1230,2,432
2013,1010,1,90
2013,1010,2,61
2013,1020,1,603
2013,1020,2,572
2013,1030,1,490
